name,vacancy_rate,rental_stock,population,rental_pop,region,state
Loftus,0.26,4,4128.0,8.97,Sutherland Shire,New South Wales
Yarrawarrah,0.11,1,2732.0,6.6,Sutherland Shire,New South Wales
Woronora Heights,,0,2855.0,3.38,Sutherland Shire,New South Wales
Alfredton,1.7,84,9224.0,24.93,Ballarat,Victoria
Ballarat,,0,5326.0,32.79,Ballarat,Victoria
Buninyong,0.39,6,3714.0,13.24,Ballarat,Victoria
Delacombe,0.48,15,6301.0,22.23,Ballarat,Victoria
Smythes Creek,1.13,13,1466.0,4.23,Golden Plains,Victoria
Wendouree,0.79,43,10447.0,33.73,Ballarat,Victoria
Miners Rest,0.55,8,3095.0,15.12,Ballarat,Victoria
Ballarat East,1.37,43,5622.0,32.81,Ballarat,Victoria
Warrenheip,0.72,3,676.0,13.62,Ballarat,Victoria
Ballarat North,0.84,17,3923.0,27.08,Ballarat,Victoria
Invermay,1.13,21,3055.0,43.45,Launceston,Tasmania
Canadian,0.97,18,3607.0,27.33,Ballarat,Victoria
Mount Clear,1.2,19,3389.0,32.32,Ballarat,Victoria
Sebastopol,1.14,61,10032.0,35.26,Ballarat,Victoria
Redan,0.83,15,2881.0,39.93,Ballarat,Victoria
Creswick,0.34,6,3168.0,16.85,Hepburn,Victoria
Clunes,0.29,3,1725.0,11.55,Hepburn,Victoria
Daylesford,0.4,9,2548.0,17.71,Hepburn,Victoria
Avoca,0.57,14,4904.0,23.08,Bundaberg,Queensland
Beaufort,0.2,2,1540.0,14.61,Pyrenees,Victoria
Bendigo,2.11,70,5516.0,33.34,Greater Bendigo,Victoria
California Gully,0.56,12,4358.0,28.9,Greater Bendigo,Victoria
Eaglehawk,0.47,13,5692.0,26.33,Greater Bendigo,Victoria
East Bendigo,1.42,19,2092.0,31.55,Greater Bendigo,Victoria
Kennington,1.26,36,5643.0,31.3,Greater Bendigo,Victoria
Flora Hill,1.47,29,3955.0,44.57,Greater Bendigo,Victoria
Spring Gully,0.33,5,3002.0,19.46,Greater Bendigo,Victoria
Kangaroo Flat,0.47,26,10399.0,25.41,Greater Bendigo,Victoria
Golden Square,0.67,30,8825.0,28.73,Greater Bendigo,Victoria
Maiden Gully,0.1,2,4985.0,7.64,Greater Bendigo,Victoria
Strathfieldsaye,0.57,16,5430.0,12.6,Greater Bendigo,Victoria
White Hills,0.42,7,3221.0,28.22,Greater Bendigo,Victoria
Ascot,1.27,19,2571.0,21.89,Belmont,Western Australia
Castlemaine,0.25,10,6759.0,21.53,Mount Alexander,Victoria
Kyneton,0.37,14,6947.0,19.16,Macedon Ranges,Victoria
Woodend,0.24,7,5804.0,14.62,Macedon Ranges,Victoria
Bannockburn,0.29,7,5285.0,11.75,Golden Plains,Victoria
Winchelsea,0.31,4,1953.0,19.17,Surf Coast,Victoria
Geelong,2.68,96,5208.0,33.36,Greater Geelong,Victoria
Geelong West,1.85,69,6965.0,33.45,Greater Geelong,Victoria
Hamlyn Heights,1.11,35,6292.0,24.23,Greater Geelong,Victoria
Highton,1.15,102,18957.0,19.9,Greater Geelong,Victoria
Lara,0.51,49,16354.0,20.46,Greater Geelong,Victoria
Leopold,0.38,24,12817.0,16.35,Greater Geelong,Victoria
Newcomb,1.56,39,4505.0,32.46,Greater Geelong,Victoria
Moolap,0.13,1,1371.0,10.53,Greater Geelong,Victoria
North Geelong,0.78,11,2971.0,36.45,Greater Geelong,Victoria
Bell Park,0.98,28,5009.0,25.78,Greater Geelong,Victoria
Charlemont,2.69,39,362.0,17.35,Greater Geelong,Victoria
Corio,0.71,48,15293.0,33.18,Greater Geelong,Victoria
Lovely Banks,0.29,3,2301.0,15.42,Greater Geelong,Victoria
Grovedale,0.76,51,14304.0,23.89,Greater Geelong,Victoria
Mount Duneed,3.11,85,1577.0,12.48,Greater Geelong,Victoria
Norlane,1.29,63,8310.0,42.11,Greater Geelong,Victoria
Clifton Springs,0.85,31,7520.0,16.19,Greater Geelong,Victoria
Lorne,0.17,4,1109.0,6.8,Surf Coast,Victoria
Anglesea,0.25,9,2545.0,7.6,Surf Coast,Victoria
Portarlington,0.23,10,3625.0,14.32,Greater Geelong,Victoria
Point Lonsdale,0.49,16,2686.0,7.87,Greater Geelong,Victoria
Queenscliff,1.61,28,3374.0,39.61,Northern Beaches,New South Wales
Torquay,0.57,55,13260.0,16.86,Surf Coast,Victoria
Barwon Heads,0.5,12,3873.0,11.6,Greater Geelong,Victoria
Armstrong Creek,2.59,161,4248.0,22.46,Greater Geelong,Victoria
Ocean Grove,0.53,57,14163.0,15.68,Greater Geelong,Victoria
Alexandra,0.13,2,2692.0,16.86,Murrindindi,Victoria
Euroa,0.41,8,3278.0,19.08,Strathbogie,Victoria
Kilmore,0.73,33,7956.0,21.78,Mitchell,Victoria
Broadford,0.44,10,4316.0,19.36,Mitchell,Victoria
Nagambie,0.46,8,1880.0,19.82,Strathbogie,Victoria
Seymour,0.5,18,6327.0,27.25,Mitchell,Victoria
Yea,0.57,6,1586.0,18.65,Murrindindi,Victoria
Benalla,0.63,38,10325.0,24.54,Benalla,Victoria
Rutherglen,0.22,3,2387.0,20.39,Indigo,Victoria
Wangaratta,0.63,60,18100.0,25.45,Wangaratta,Victoria
Beechworth,0.38,8,3862.0,18.91,Indigo,Victoria
Bright,0.16,3,2399.0,17.73,Alpine,Victoria
Mount Beauty,0.67,4,822.0,19.08,Alpine,Victoria
Chiltern,0.13,1,1601.0,11.79,Indigo,Victoria
Indigo Valley,,0,329.0,10.53,Indigo,Victoria
Myrtleford,0.23,4,3195.0,19.63,Alpine,Victoria
Towong,,0,134.0,13.79,Towong,Victoria
West Wodonga,0.64,43,14573.0,33.14,Wodonga,Victoria
Yackandandah,0.23,2,1810.0,15.65,Indigo,Victoria
Baranduda,1.11,17,2368.0,15.8,Wodonga,Victoria
Leneva,0.44,4,849.0,23.05,Wodonga,Victoria
Wodonga,0.84,80,18947.0,33.02,Wodonga,Victoria
Drouin,0.5,35,12348.0,22.36,Baw Baw,Victoria
Warragul,0.94,88,15753.0,20.82,Baw Baw,Victoria
Bairnsdale,0.83,34,7582.0,29.46,East Gippsland,Victoria
Bruthen,0.24,1,814.0,13.21,East Gippsland,Victoria
Omeo,1.01,3,404.0,14.0,East Gippsland,Victoria
Lake King,,0,91.0,11.76,Lake Grace,Western Australia
Lakes Entrance,0.44,14,4808.0,19.9,East Gippsland,Victoria
Orbost,,0,2230.0,20.07,East Gippsland,Victoria
Paynesville,0.52,13,3478.0,18.55,East Gippsland,Victoria
Foster,0.5,6,1842.0,18.55,South Gippsland,Victoria
French Island,,0,114.0,3.85,Vic,Victoria
Korumburra,0.29,7,4475.0,19.97,South Gippsland,Victoria
Leongatha,0.41,12,5656.0,22.36,South Gippsland,Victoria
Wilsons Promontory,,0,9.0,100.0,South Gippsland,Victoria
Wonthaggi,0.43,14,4966.0,27.57,Bass Coast,Victoria
Inverloch,0.53,26,5438.0,12.83,Bass Coast,Victoria
Churchill,0.96,23,4785.0,25.48,Latrobe,Victoria
Moe,0.49,27,8772.0,28.13,Latrobe,Victoria
Newborough,0.61,22,6759.0,22.61,Latrobe,Victoria
Morwell,1.36,103,13770.0,27.11,Latrobe,Victoria
Yallourn North,0.27,2,1544.0,12.34,Latrobe,Victoria
Glengarry,0.18,1,1086.0,11.06,Wellington,Victoria
Traralgon,0.77,100,24940.0,23.63,Latrobe,Victoria
Longford,0.43,9,3863.0,24.6,Northern Midlands,Tasmania
Loch Sport,0.22,4,812.0,3.26,Wellington,Victoria
Maffra,0.43,11,5282.0,21.13,Wellington,Victoria
Rosedale,0.23,2,1658.0,16.25,Wellington,Victoria
Sale,0.78,58,13671.0,27.83,Wellington,Victoria
Yarram,,0,2139.0,23.85,Wellington,Victoria
Brunswick East,1.65,143,11504.0,46.84,Moreland,Victoria
Brunswick West,1.79,150,14156.0,41.36,Moreland,Victoria
Pascoe Vale South,0.89,40,10067.0,18.63,Moreland,Victoria
Brunswick,1.37,198,24470.0,43.72,Moreland,Victoria
Coburg,1.05,131,26180.0,30.58,Moreland,Victoria
Alphington,1.12,36,5080.0,28.93,Yarra,Victoria
Thornbury,1.12,107,18564.0,37.38,Darebin,Victoria
Northcote,1.06,128,24562.0,33.57,Darebin,Victoria
Ascot Vale,1.11,81,14754.0,36.2,Moonee Valley,Victoria
Flemington,1.55,72,7716.0,51.26,Melbourne,Victoria
Moonee Ponds,1.41,123,14253.0,31.65,Moonee Valley,Victoria
Aberfeldie,0.7,12,3895.0,21.22,Moonee Valley,Victoria
Essendon,1.51,160,20600.0,31.89,Moonee Valley,Victoria
Docklands,3.62,428,10962.0,47.41,Melbourne,Victoria
East Melbourne,2.49,83,4960.0,41.44,Melbourne,Victoria
Parkville,2.87,89,7405.0,52.95,Melbourne,Victoria
South Yarra,2.36,439,25154.0,50.25,Stonnington,Victoria
West Melbourne,3.84,222,5517.0,49.96,Melbourne,Victoria
North Melbourne,2.52,264,14935.0,54.89,Melbourne,Victoria
South Wharf,,0,107.0,15.79,Melbourne,Victoria
Southbank,4.46,798,18709.0,47.94,Melbourne,Victoria
Albert Park,0.87,28,6216.0,31.57,Port Phillip,Victoria
Elwood,1.65,156,15550.0,45.05,Port Phillip,Victoria
Port Melbourne,1.42,140,16176.0,38.18,Melbourne,Victoria
St Kilda East,2.0,142,13097.0,43.93,Port Phillip,Victoria
South Melbourne,1.94,177,10921.0,45.19,Port Phillip,Victoria
St Kilda,2.06,318,20224.0,47.49,Port Phillip,Victoria
Armadale,1.19,81,13619.0,33.59,Armadale,Western Australia
Prahran,2.71,232,12984.0,46.44,Stonnington,Victoria
Toorak,1.46,112,12909.0,27.1,Stonnington,Victoria
Carlton North,1.16,36,6305.0,44.0,Yarra,Victoria
Princes Hill,0.49,5,2128.0,40.04,Yarra,Victoria
Collingwood,1.99,117,8510.0,53.33,Yarra,Victoria
Fitzroy,1.42,86,10444.0,49.81,Yarra,Victoria
Fitzroy North,1.11,76,12334.0,42.65,Yarra,Victoria
Clifton Hill,0.89,28,6337.0,33.36,Yarra,Victoria
Balwyn,1.11,68,13308.0,22.6,Boroondara,Victoria
Balwyn North,1.04,85,20403.0,16.81,Boroondara,Victoria
Camberwell,1.2,115,22079.0,23.75,Boroondara,Victoria
Glen Iris,1.11,134,25271.0,26.26,Boroondara,Victoria
Hawthorn East,1.94,156,14324.0,37.36,Boroondara,Victoria
Kew East,0.69,19,6637.0,21.8,Boroondara,Victoria
Hawthorn,2.08,273,23514.0,43.94,Boroondara,Victoria
Kew,1.03,117,24595.0,26.64,Boroondara,Victoria
Bulleen,0.73,36,10882.0,17.48,Manningham,Victoria
Doncaster,1.28,169,20950.0,24.58,Manningham,Victoria
Templestowe,0.64,42,16622.0,12.48,Manningham,Victoria
Templestowe Lower,0.63,37,13429.0,14.88,Manningham,Victoria
Doncaster East,0.98,129,28360.0,19.92,Manningham,Victoria
Blackburn,0.96,66,13944.0,22.36,Whitehorse,Victoria
Blackburn South,0.69,31,10794.0,21.44,Whitehorse,Victoria
Box Hill North,1.11,60,11866.0,29.02,Whitehorse,Victoria
Burwood East,1.22,66,10269.0,23.47,Whitehorse,Victoria
Mont Albert,0.66,15,4843.0,25.02,Whitehorse,Victoria
Beaumaris,0.67,40,13350.0,11.52,Bayside,Victoria
Brighton East,0.84,61,15992.0,19.34,Bayside,Victoria
Hampton,0.85,56,13391.0,21.88,Bayside,Victoria
Sandringham,0.7,38,10246.0,21.93,Bayside,Victoria
Black Rock,0.68,20,6157.0,17.34,Bayside,Victoria
Bentleigh,1.1,89,16155.0,23.65,Glen Eira,Victoria
McKinnon,1.46,40,6062.0,26.7,Glen Eira,Victoria
Carnegie,1.5,145,17387.0,39.41,Glen Eira,Victoria
Caulfield,0.98,25,5597.0,29.22,Glen Eira,Victoria
Elsternwick,1.15,62,10349.0,32.1,Glen Eira,Victoria
Hughesdale,1.23,43,7557.0,32.08,Monash,Victoria
Murrumbeena,1.42,69,9931.0,34.02,Glen Eira,Victoria
Ormond,1.52,60,8415.0,36.09,Glen Eira,Victoria
Glen Huntly,1.71,46,5034.0,45.6,Glen Eira,Victoria
Bentleigh East,1.17,155,27632.0,20.22,Glen Eira,Victoria
Aspendale Gardens,0.26,6,6528.0,9.67,Kingston,Victoria
Waterways,0.4,3,2454.0,8.45,Kingston,Victoria
Braeside,,0,22.0,50.0,Kingston,Victoria
Carrum,0.68,15,3983.0,28.34,Kingston,Victoria
Patterson Lakes,0.44,15,7561.0,13.91,Kingston,Victoria
Chelsea,1.11,47,7769.0,28.5,Kingston,Victoria
Bonbeach,0.62,22,6420.0,27.25,Kingston,Victoria
Chelsea Heights,0.36,8,5339.0,13.13,Kingston,Victoria
Edithvale,0.68,21,5802.0,22.93,Kingston,Victoria
Aspendale,0.77,24,6949.0,16.1,Kingston,Victoria
Mentone,0.85,57,12958.0,30.2,Kingston,Victoria
Moorabbin,1.13,36,5894.0,24.27,Kingston,Victoria
Heatherton,0.45,5,2912.0,23.84,Kingston,Victoria
Moorabbin Airport,,0,,,Kingston,Victoria
Mordialloc,,0,8166.0,27.34,Kingston,Victoria
Parkdale,0.55,30,11745.0,20.4,Kingston,Victoria
Malvern,1.2,60,10062.0,26.36,Stonnington,Victoria
Malvern East,2.03,219,21710.0,29.08,Stonnington,Victoria
Bundoora,1.11,133,28651.0,24.86,Whittlesea,Victoria
Greensborough,0.65,57,20816.0,15.81,Banyule,Victoria
Heidelberg,1.24,47,6226.0,33.93,Banyule,Victoria
Rosanna,1.0,38,8498.0,20.74,Banyule,Victoria
Heidelberg West,1.15,40,5547.0,46.07,Banyule,Victoria
Ivanhoe,1.35,104,12171.0,27.33,Banyule,Victoria
Ivanhoe East,0.69,13,3817.0,17.75,Banyule,Victoria
Eaglemont,0.59,10,3873.0,16.23,Banyule,Victoria
Montmorency,0.51,20,8968.0,16.0,Banyule,Victoria
Briar Hill,0.34,5,3149.0,16.63,Banyule,Victoria
Viewbank,0.41,11,6914.0,12.3,Banyule,Victoria
Yallambie,0.21,3,4114.0,25.0,Banyule,Victoria
Watsonia,0.73,18,5216.0,26.73,Banyule,Victoria
Kingsbury,1.34,22,3779.0,39.17,Darebin,Victoria
Preston,1.11,193,32851.0,34.51,Darebin,Victoria
Reservoir,1.08,272,50482.0,31.9,Darebin,Victoria
Eltham,0.31,23,18317.0,11.44,Nillumbik,Victoria
Hurstbridge,0.22,3,3449.0,8.48,Nillumbik,Victoria
Panton Hill,0.25,1,1059.0,6.74,Nillumbik,Victoria
Plenty,0.24,2,2362.0,3.7,Nillumbik,Victoria
Yarrambat,,0,1586.0,5.81,Nillumbik,Victoria
Research,0.41,4,2651.0,7.59,Nillumbik,Victoria
North Warrandyte,,0,2957.0,5.29,Nillumbik,Victoria
Wattle Glen,0.15,1,1964.0,6.62,Nillumbik,Victoria
Diamond Creek,0.22,10,11733.0,9.44,Nillumbik,Victoria
Mill Park,0.72,80,29713.0,19.26,Whittlesea,Victoria
Thomastown,0.59,52,20522.0,24.26,Whittlesea,Victoria
Wallan,1.16,77,11073.0,17.52,Mitchell,Victoria
Whittlesea,0.39,9,5616.0,16.42,Whittlesea,Victoria
Epping,1.05,146,32392.0,25.48,Whittlesea,Victoria
South Morang,0.76,72,24060.0,19.04,Whittlesea,Victoria
Wollert,1.56,176,9054.0,18.21,Whittlesea,Victoria
Doreen,0.72,66,21296.0,20.38,Nillumbik,Victoria
Lalor,0.83,75,22595.0,23.02,Whittlesea,Victoria
Mernda,1.3,103,16454.0,24.52,Whittlesea,Victoria
Airport West,1.01,42,7567.0,22.24,Moonee Valley,Victoria
Keilor,0.3,7,5857.0,10.29,Brimbank,Victoria
Niddrie,1.12,29,5485.0,21.46,Moonee Valley,Victoria
Essendon West,1.08,8,1437.0,21.81,Moonee Valley,Victoria
Strathmore,0.95,33,8425.0,14.35,Moonee Valley,Victoria
Avondale Heights,1.04,55,11631.0,16.58,Moonee Valley,Victoria
Keilor East,0.72,45,14519.0,16.44,Moonee Valley,Victoria
Gisborne,0.71,32,8998.0,14.93,Macedon Ranges,Victoria
Macedon,,0,2038.0,7.62,Macedon Ranges,Victoria
Riddells Creek,0.28,5,3947.0,8.76,Macedon Ranges,Victoria
Romsey,0.36,8,4748.0,12.54,Macedon Ranges,Victoria
Coburg North,0.9,34,7599.0,26.19,Moreland,Victoria
Fawkner,0.97,56,14042.0,25.43,Moreland,Victoria
Gowanbrae,0.44,5,2769.0,12.98,Moreland,Victoria
Hadfield,0.75,22,5604.0,21.86,Moreland,Victoria
Glenroy,1.35,150,22245.0,31.42,Moreland,Victoria
Oak Park,1.16,38,6205.0,25.15,Moreland,Victoria
Pascoe Vale,1.12,99,17052.0,29.43,Moreland,Victoria
Sunbury,0.67,125,36082.0,19.09,Hume,Victoria
Diggers Rest,1.39,41,2763.0,15.92,Melton,Victoria
Broadmeadows,1.33,68,11962.0,39.69,Hume,Victoria
Campbellfield,0.31,6,5059.0,21.56,Hume,Victoria
Coolaroo,0.24,3,3182.0,26.11,Hume,Victoria
Gladstone Park,0.51,17,8341.0,17.55,Hume,Victoria
Westmeadows,0.8,22,5846.0,18.97,Hume,Victoria
Greenvale,0.75,61,15467.0,8.25,Hume,Victoria
Bulla,0.32,1,676.0,6.84,Hume,Victoria
Meadow Heights,0.77,38,14843.0,27.7,Hume,Victoria
Melbourne Airport,,0,98.0,,Hume,Victoria
Tullamarine,1.49,49,6609.0,30.29,Hume,Victoria
Craigieburn,1.29,274,50347.0,25.3,Hume,Victoria
Mickleham,2.37,154,3142.0,6.56,Hume,Victoria
Yuroke,,0,141.0,,Hume,Victoria
Somerton,,0,276.0,24.8,Tamworth Regional,New South Wales
Roxburgh Park,0.61,41,21816.0,18.93,Hume,Victoria
Bayswater,0.48,35,14435.0,25.6,Bayswater,Western Australia
Knoxfield,0.58,20,7464.0,19.92,Knox,Victoria
Scoresby,0.57,14,6023.0,18.61,Knox,Victoria
Lysterfield,0.13,3,6665.0,6.46,Yarra Ranges,Victoria
Rowville,0.39,49,33674.0,14.04,Knox,Victoria
Wantirna,0.55,32,13817.0,18.93,Knox,Victoria
Wantirna South,0.8,67,19276.0,19.56,Knox,Victoria
Boronia,0.56,61,22196.0,23.71,Knox,Victoria
Ferntree Gully,0.43,50,26424.0,18.78,Knox,Victoria
Upper Ferntree Gully,0.3,4,3412.0,12.13,Knox,Victoria
The Basin,0.34,6,4417.0,10.75,Knox,Victoria
Donvale,0.42,21,12345.0,14.68,Manningham,Victoria
Park Orchards,0.08,1,3823.0,3.35,Manningham,Victoria
Warrandyte,0.36,7,5500.0,7.33,Manningham,Victoria
Wonga Park,0.15,2,3798.0,6.22,Manningham,Victoria
Bayswater North,0.47,18,8789.0,21.9,Maroondah,Victoria
Croydon Hills,0.47,8,4986.0,10.29,Maroondah,Victoria
Warranwood,0.24,4,4804.0,8.46,Maroondah,Victoria
Ringwood,0.99,91,17469.0,34.32,Maroondah,Victoria
Ringwood East,0.99,46,10264.0,26.29,Maroondah,Victoria
Ringwood North,0.21,8,9829.0,11.14,Maroondah,Victoria
Croydon South,0.57,12,4570.0,16.3,Maroondah,Victoria
Forest Hill,0.77,36,10624.0,24.86,Whitehorse,Victoria
Nunawading,0.9,49,11881.0,25.89,Whitehorse,Victoria
Vermont,0.65,27,10443.0,16.23,Whitehorse,Victoria
Vermont South,0.46,21,11674.0,12.78,Whitehorse,Victoria
Belgrave,0.32,5,3933.0,8.87,Yarra Ranges,Victoria
Selby,0.33,2,1656.0,6.7,Yarra Ranges,Victoria
Chirnside Park,0.38,17,9863.0,11.99,Yarra Ranges,Victoria
Healesville,0.29,10,7463.0,17.84,Yarra Ranges,Victoria
Yarra Glen,0.25,3,2864.0,13.63,Yarra Ranges,Victoria
Kilsyth,0.53,30,10891.0,18.16,Yarra Ranges,Victoria
Lilydale,0.33,26,16530.0,18.95,Yarra Ranges,Victoria
Coldstream,0.34,3,2165.0,11.28,Yarra Ranges,Victoria
Monbulk,0.21,3,3578.0,16.07,Yarra Ranges,Victoria
Silvan,,0,1250.0,7.93,Yarra Ranges,Victoria
Montrose,0.04,1,6763.0,10.62,Yarra Ranges,Victoria
Mooroolbark,0.58,55,21958.0,17.1,Yarra Ranges,Victoria
Mount Dandenong,0.36,2,1249.0,7.55,Yarra Ranges,Victoria
Olinda,,0,1741.0,11.63,Yarra Ranges,Victoria
Mount Evelyn,0.14,5,9700.0,9.52,Yarra Ranges,Victoria
Upwey,0.46,12,6650.0,10.0,Yarra Ranges,Victoria
Tecoma,0.11,1,2076.0,15.27,Yarra Ranges,Victoria
Seville,0.1,1,2385.0,7.56,Yarra Ranges,Victoria
Emerald,0.74,51,14350.0,33.01,Central Highlands,Queensland
Cockatoo,0.3,5,4257.0,10.18,Cardinia,Victoria
Officer,1.83,141,7137.0,22.78,Cardinia,Victoria
Bunyip,0.44,5,2469.0,11.78,Cardinia,Victoria
Garfield,,0,1785.0,9.01,Cardinia,Victoria
Koo Wee Rup,0.45,7,3584.0,18.35,Cardinia,Victoria
Pakenham,0.88,193,46420.0,28.58,Cardinia,Victoria
Berwick,0.93,191,47671.0,20.21,Casey,Victoria
Doveton,0.71,32,9359.0,35.67,Casey,Victoria
Hallam,,0,10850.0,22.44,Casey,Victoria
Narre Warren North,0.16,4,7680.0,4.35,Casey,Victoria
Endeavour Hills,0.63,56,24296.0,15.86,Casey,Victoria
Narre Warren,0.81,88,26616.0,23.0,Casey,Victoria
Cranbourne,1.07,96,20087.0,26.78,Casey,Victoria
Cranbourne South,0.64,12,1676.0,8.53,Casey,Victoria
Cranbourne West,0.75,55,15032.0,19.17,Casey,Victoria
Lynbrook,0.71,19,8528.0,15.26,Casey,Victoria
Lyndhurst,0.92,27,6722.0,14.55,Greater Dandenong,Victoria
Pearcedale,0.21,3,3818.0,8.04,Casey,Victoria
Tooradin,0.14,1,1569.0,14.74,Casey,Victoria
Narre Warren South,0.47,44,30316.0,13.91,Casey,Victoria
Clyde North,2.05,251,8155.0,20.73,Casey,Victoria
Cranbourne East,1.01,83,16191.0,18.33,Casey,Victoria
Cranbourne North,1.02,80,20109.0,20.6,Casey,Victoria
Hampton Park,0.69,64,25529.0,23.78,Casey,Victoria
Clarinda,0.79,23,7484.0,21.12,Kingston,Victoria
Oakleigh South,0.79,35,9256.0,20.33,Monash,Victoria
Clayton South,1.49,91,12639.0,36.06,Kingston,Victoria
Dandenong North,0.73,62,22458.0,24.95,Greater Dandenong,Victoria
Dingley Village,0.24,10,10322.0,10.07,Kingston,Victoria
Noble Park North,0.67,20,7467.0,24.9,Greater Dandenong,Victoria
Springvale,0.96,82,21713.0,34.3,Greater Dandenong,Victoria
Springvale South,0.36,16,12767.0,23.34,Greater Dandenong,Victoria
Noble Park,1.07,140,30997.0,36.15,Greater Dandenong,Victoria
Dandenong,1.43,178,29901.0,46.71,Greater Dandenong,Victoria
Keysborough,0.78,82,25792.0,16.03,Greater Dandenong,Victoria
Ashwood,0.98,32,6883.0,33.09,Monash,Victoria
Chadstone,1.29,58,8641.0,34.51,Monash,Victoria
Glen Waverley,1.19,206,40325.0,22.6,Monash,Victoria
Mount Waverley,0.82,122,33610.0,20.76,Monash,Victoria
Mulgrave,0.57,46,19369.0,19.43,Monash,Victoria
Oakleigh,1.17,47,7887.0,28.67,Monash,Victoria
Huntingdale,0.43,14,8689.0,16.66,Gosnells,Western Australia
Wheelers Hill,0.61,51,19749.0,14.27,Monash,Victoria
Notting Hill,1.78,32,3054.0,51.41,Monash,Victoria
Clayton,3.32,295,19352.0,53.89,Monash,Victoria
Ardeer,1.06,16,3104.0,26.72,Brimbank,Victoria
Albion,1.7,40,4733.0,38.63,Brimbank,Victoria
Cairnlea,0.65,20,9661.0,11.45,Brimbank,Victoria
Delahey,0.54,16,8344.0,20.51,Brimbank,Victoria
Keilor Downs,0.7,27,9995.0,17.01,Brimbank,Victoria
Sunshine,1.29,56,9765.0,34.84,Brimbank,Victoria
Sunshine North,0.86,43,11697.0,24.59,Brimbank,Victoria
Sunshine West,0.69,50,18583.0,24.38,Brimbank,Victoria
Taylors Lakes,0.26,14,15517.0,9.55,Brimbank,Victoria
Deer Park,0.63,43,18125.0,26.6,Brimbank,Victoria
Derrimut,,0,8265.0,20.14,Brimbank,Victoria
Altona,1.04,63,10767.0,28.29,Hobsons Bay,Victoria
Altona Meadows,0.71,56,19158.0,25.08,Hobsons Bay,Victoria
Altona North,0.83,56,12156.0,26.48,Hobsons Bay,Victoria
Seabrook,0.94,17,5128.0,16.68,Hobsons Bay,Victoria
Williamstown,0.98,65,13972.0,22.36,Hobsons Bay,Victoria
Braybrook,1.09,52,9195.0,43.81,Maribyrnong,Victoria
Footscray,2.46,301,16341.0,49.9,Maribyrnong,Victoria
Maribyrnong,1.77,110,12220.0,34.32,Maribyrnong,Victoria
Seddon,1.02,25,5128.0,34.26,Maribyrnong,Victoria
Kingsville,,0,3946.0,35.86,Maribyrnong,Victoria
West Footscray,1.19,68,11449.0,37.35,Maribyrnong,Victoria
Tottenham,0.27,1,451.0,19.73,Lachlan,New South Wales
Yarraville,1.34,99,14964.0,28.88,Maribyrnong,Victoria
Bacchus Marsh,0.66,25,6395.0,24.76,Moorabool,Victoria
Melton West,0.48,30,17590.0,22.21,Melton,Victoria
Rockbank,3.08,115,1532.0,23.34,Melton,Victoria
Mount Cottrell,1.04,5,567.0,15.6,Melton,Victoria
Taylors Hill,0.52,23,14919.0,10.4,Melton,Victoria
Burnside,0.51,11,4750.0,10.29,Melton,Victoria
Burnside Heights,0.95,17,6068.0,17.83,Melton,Victoria
Caroline Springs,0.7,59,24209.0,20.74,Melton,Victoria
Brookfield,1.62,60,9211.0,25.63,Melton,Victoria
Eynesbury,1.91,39,2575.0,7.57,Melton,Victoria
Exford,,0,104.0,,Melton,Victoria
Hillside,,0,63.0,16.67,Narrogin,Western Australia
Kurunjang,1.06,42,10068.0,20.67,Melton,Victoria
Toolern Vale,0.67,2,723.0,11.2,Melton,Victoria
Melton,1.39,54,8069.0,28.28,Melton,Victoria
Melton South,2.0,123,11518.0,27.81,Melton,Victoria
Hoppers Crossing,0.95,137,38701.0,21.83,Wyndham,Victoria
Laverton,1.75,44,4915.0,38.34,Hobsons Bay,Victoria
Werribee,1.44,331,40343.0,27.79,Wyndham,Victoria
Point Cook,1.79,392,49936.0,27.14,Wyndham,Victoria
Quandong,,0,,,Wyndham,Victoria
Tarneit,2.37,613,34566.0,27.08,Wyndham,Victoria
Truganina,2.31,390,20686.0,26.54,Wyndham,Victoria
Wyndham Vale,2.42,274,23273.0,25.0,Wyndham,Victoria
Carrum Downs,0.68,69,20708.0,25.81,Frankston,Victoria
Frankston,1.05,199,36095.0,33.95,Frankston,Victoria
Frankston North,0.92,25,5760.0,37.68,Frankston,Victoria
Frankston South,0.35,27,18201.0,18.35,Frankston,Victoria
Langwarrin,0.39,37,22586.0,17.64,Frankston,Victoria
Skye,0.23,7,8094.0,17.69,Frankston,Victoria
Sandhurst,0.28,5,4983.0,14.05,Frankston,Victoria
Dromana,0.6,31,5801.0,15.1,Mornington Peninsula,Victoria
Hastings,0.45,22,9605.0,33.22,Mornington Peninsula,Victoria
Somers,0.25,3,1670.0,7.88,Mornington Peninsula,Victoria
Mount Eliza,0.49,35,17886.0,8.65,Mornington Peninsula,Victoria
Mount Martha,0.44,39,18551.0,11.74,Mornington Peninsula,Victoria
Rosebud,0.54,52,13194.0,18.35,Mornington Peninsula,Victoria
McCrae,0.71,16,2824.0,10.71,Mornington Peninsula,Victoria
Somerville,0.17,8,11338.0,18.03,Mornington Peninsula,Victoria
Mornington,0.61,77,23987.0,21.12,Mornington Peninsula,Victoria
Ararat,0.74,31,8293.0,23.95,Ararat,Victoria
Horsham,0.58,44,14541.0,25.91,Horsham,Victoria
